dapil,partai,agama
kota-sukabumi,PARTAI GERAKAN INDONESIA RAYA,Islam
manggarai-barat,PARTAI KEADILAN SEJAHTERA,Islam
manggarai-timur,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
sabu-raijua,PARTAI HATI NURANI RAKYAT,Islam
serdang-bedagai,PARTAI AMANAT NASIONAL,Islam
sumba-tengah,PARTAI HATI NURANI RAKYAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-2,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-5,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Budha
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-5,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-10,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-4,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-4,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-1,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-2,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-4,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-1,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-4,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-2,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI BERKARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-8,PARTAI AMANAT NASIONAL,Islam
deli-serdang,PARTAI BULAN BINTANG,-
purwakarta,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
serdang-bedagai,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
sumba-timur,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-5,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-6,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-2,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-5,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-2,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-5,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-7,PARTAI GERAKAN INDONESIA RAYA,-
bandung-barat,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
kota-sabang,PARTAI BULAN BINTANG,Islam
manggarai,PARTAI KEBANGKITAN BANGSA,Islam
manggarai-barat,PARTAI GOLONGAN KARYA,Katolik
serdang-bedagai,PARTAI GERAKAN INDONESIA RAYA,Islam
sikka,PARTAI BULAN BINTANG,Islam
sumba-timur,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-1,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-5,PARTAI NASDEM,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-6,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-2,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-6,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI GOLONGAN KARYA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-4,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-4,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-4,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-6,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-3,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-4,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-2,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-6,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-3,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-5,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI HATI NURANI RAKYAT,Kristen Protestan
ende,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-14,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-8,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-3,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-6,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-2,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-9,PARTAI BULAN BINTANG,-
asahan,PARTAI GERAKAN INDONESIA RAYA,Islam
ende,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
kota-bekasi,PERSATUAN INDONESIA,Islam
kota-kupang,PARTAI AMANAT NASIONAL,Katolik
sukabumi,PARTAI KEADILAN SEJAHTERA,Islam
sumedang,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-7,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-5,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-10,PERSATUAN INDONESIA,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-6,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-5,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-3,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-2,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-3,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-3,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-5,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-6,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-2,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-3,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-3,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-4,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-11,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-3,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-6,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-1,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-4,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-6,PARTAI SOLIDARITAS INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-3,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-8,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-2,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
bener-meriah,PARTAI SIRA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-4,PARTAI NASDEM,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-2,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-5,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-9,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-1,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-1,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-2,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-8,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-4,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-6,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-2,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-1,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-4,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-2,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-3,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-4,PARTAI AMANAT NASIONAL,Islam
aceh-tengah,PARTAI HATI NURANI RAKYAT,-
bireuen,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
kota-lhokseumawe,PARTAI PERSATUAN PEMBANGUNAN,-
manggarai,PARTAI GERAKAN INDONESIA RAYA,-
manggarai,PARTAI SOLIDARITAS INDONESIA,-
sabu-raijua,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-3,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-3,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-6,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-6,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-1,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-5,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-6,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-3,PARTAI PERSATUAN PEMBANGUNAN,-
aceh-besar,PARTAI GOLONGAN KARYA,Islam
asahan,PARTAI AMANAT NASIONAL,Islam
kota-bekasi,PERSATUAN INDONESIA,Katolik
kota-bogor,PARTAI PERSATUAN PEMBANGUNAN,Islam
kota-kupang,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-1,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-2,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-2,PARTAI DEMOKRAT,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-9,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-2,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-8,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-6,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-1,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-3,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-2,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-4,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-2,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-6,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-4,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-2,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-1,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-7,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-5,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-4,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-1,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-3,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-7,PERSATUAN INDONESIA,-
asahan,PARTAI BERKARYA,Islam
bandung-barat,PARTAI BULAN BINTANG,Islam
karawang,PARTAI SOLIDARITAS INDONESIA,Katolik
kota-lhokseumawe,PARTAI DEMOKRAT,Islam
kota-lhokseumawe,PERSATUAN INDONESIA,Islam
kota-sabang,PARTAI SIRA,Islam
majalengka,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-3,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PARTAI DEMOKRAT,Budha
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-5,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-4,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-3,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-6,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-2,PARTAI BERKARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-2,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-5,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-2,PARTAI GERAKAN PERUBAHAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-6,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-7,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-3,PARTAI NASDEM,Islam
aceh-besar,PARTAI HATI NURANI RAKYAT,-
aceh-tengah,PARTAI NASDEM,-
indramayu,PARTAI GOLONGAN KARYA,-
pidie-jaya,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-9,PARTAI SIRA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-5,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-13,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-8,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-3,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-4,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-8,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
karawang,PERSATUAN INDONESIA,Lainnya
kota-kupang,PARTAI SOLIDARITAS INDONESIA,Islam
kota-kupang,PERSATUAN INDONESIA,Islam
manggarai,PARTAI SOLIDARITAS INDONESIA,Islam
ngada,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
purwakarta,PARTAI KEADILAN SEJAHTERA,Islam
sikka,PARTAI BERKARYA,Lainnya
sumba-barat-daya,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-1,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-7,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-2,PARTAI SOLIDARITAS INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-5,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-3,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-3,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-4,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-6,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-1,PARTAI HATI NURANI RAKYAT,Budha
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI BERKARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-2,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-3,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-5,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-6,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-4,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-4,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-5,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-3,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
manggarai-barat,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-4,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-3,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-4,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-11,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-5,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-5,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-7,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-2,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-6,PARTAI GOLONGAN KARYA,-
aceh-besar,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
kota-kupang,PARTAI GOLONGAN KARYA,Kristen Protestan
kota-sukabumi,PARTAI AMANAT NASIONAL,Islam
kota-sukabumi,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
pidie,PARTAI GERAKAN INDONESIA RAYA,Islam
sikka,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
wajo,PARTAI PERSATUAN PEMBANGUNAN,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-2,PARTAI GERAKAN INDONESIA RAYA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-5,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-9,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-2,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-5,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI NASDEM,Islam
